2017-01-10 09:45:58,790 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:45:58,792 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 09:50:18,466 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.hibernate:hibernate-entitymanager:jar:${hibernate.version} is missing, no dependency information available
2017-01-10 09:50:18,470 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.hibernate:hibernate-c3p0:jar:${hibernate.version} is missing, no dependency information available
2017-01-10 09:50:18,508 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:50:18,513 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-10 09:50:18,515 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:50:18,518 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 09:51:25,703 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:51:25,704 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-10 09:51:25,717 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:51:25,718 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 09:51:30,075 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:51:30,076 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-10 09:51:30,077 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:51:30,078 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 09:57:18,412 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:57:18,417 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-10 09:57:18,422 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:57:18,423 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 09:58:19,166 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:58:19,168 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-10 09:58:19,170 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:58:19,170 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 09:59:53,559 [Worker-50] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: DebateAppJPA:DebateAppJPA:0.0.1-SNAPSHOT @ /Users/Jolteon/SD/DebateApp/DebateAppJPA/pom.xml.
2017-01-10 09:59:53,621 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.hibernate:hibernate-c3p0:jar:${hibernate.version} is missing, no dependency information available
2017-01-10 09:59:53,908 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:59:53,911 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-10 09:59:53,913 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 09:59:53,913 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:03:37,094 [Worker-54] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: DebateAppJPA:DebateAppJPA:0.0.1-SNAPSHOT @ /Users/Jolteon/SD/DebateApp/DebateAppJPA/pom.xml.
2017-01-10 10:03:37,348 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:03:37,351 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-10 10:03:37,353 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:03:37,354 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:03:38,681 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:03:38,686 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:03:38,697 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:03:38,697 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:05:10,443 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:05:10,448 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-10 10:05:10,468 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:05:10,469 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:05:43,753 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:05:43,755 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:05:43,756 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:05:43,757 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:05:49,954 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:05:49,955 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:05:49,957 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:05:49,958 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:06:00,938 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:00,939 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:06:00,941 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:00,941 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:06:09,362 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:09,364 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:06:09,365 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:09,366 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:06:17,090 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:17,091 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:06:17,095 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:17,095 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:06:26,088 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:26,089 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:06:26,091 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:26,092 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
2017-01-10 10:06:34,388 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:34,392 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-10 10:06:34,394 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 10:06:34,398 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/SD/DebateApp/DebateAppJPA/src/test/resources
